first_name,last_name,gender,birthday,name,type,party,start_date,end_date,congress_numbers,state
shelley,capito,F,1953-11-26,Shelley Moore Capito,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",west virginia
andré,carson,M,1974-10-16,André Carson,rep,Democrat,2021-01-03,2023-01-03,[117],indiana
john,carter,M,1941-11-06,John R. Carter,rep,Republican,2021-01-03,2023-01-03,[117],texas
bill,cassidy,M,1957-09-28,Bill Cassidy,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",louisiana
kathy,castor,F,1966-08-20,Kathy Castor,rep,Democrat,2021-01-03,2023-01-03,[117],florida
judy,chu,F,1953-07-07,Judy Chu,rep,Democrat,2021-01-03,2023-01-03,[117],california
yvette,clarke,F,1964-11-21,Yvette D. Clarke,rep,Democrat,2021-01-03,2023-01-03,[117],new york
emanuel,cleaver,M,1944-10-26,Emanuel Cleaver,rep,Democrat,2021-01-03,2023-01-03,[117],missouri
james,clyburn,M,1940-07-21,James E. Clyburn,rep,Democrat,2021-01-03,2023-01-03,[117],south carolina
steve,cohen,M,1949-05-24,Steve Cohen,rep,Democrat,2021-01-03,2023-01-03,[117],tennessee
tom,cole,M,1949-04-28,Tom Cole,rep,Republican,2021-01-03,2023-01-03,[117],oklahoma
gerald,connolly,M,1950-03-30,Gerald E. Connolly,rep,Democrat,2021-01-03,2023-01-03,[117],virginia
jim,costa,M,1952-04-13,Jim Costa,rep,Democrat,2021-01-03,2023-01-03,[117],california
joe,courtney,M,1953-04-06,Joe Courtney,rep,Democrat,2021-01-03,2023-01-03,[117],connecticut
michael,crapo,M,1951-05-20,Mike Crapo,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",idaho
eric,crawford,M,1966-01-22,"Eric A. ""Rick"" Crawford",rep,Republican,2021-01-03,2023-01-03,[117],arkansas
henry,cuellar,M,1955-09-19,Henry Cuellar,rep,Democrat,2021-01-03,2023-01-03,[117],texas
danny,davis,M,1941-09-06,Danny K. Davis,rep,Democrat,2021-01-03,2023-01-03,[117],illinois
diana,degette,F,1957-07-29,Diana DeGette,rep,Democrat,2021-01-03,2023-01-03,[117],colorado
rosa,delauro,F,1943-03-02,Rosa L. DeLauro,rep,Democrat,2021-01-03,2023-01-03,[117],connecticut
scott,desjarlais,M,1964-02-21,Scott DesJarlais,rep,Republican,2021-01-03,2023-01-03,[117],tennessee
mario,diaz-balart,M,1961-09-25,Mario Diaz-Balart,rep,Republican,2021-01-03,2023-01-03,[117],florida
lloyd,doggett,M,1946-10-06,Lloyd Doggett,rep,Democrat,2021-01-03,2023-01-03,[117],texas
jeff,duncan,M,1966-01-07,Jeff Duncan,rep,Republican,2021-01-03,2023-01-03,[117],south carolina
anna,eshoo,F,1942-12-13,Anna G. Eshoo,rep,Democrat,2021-01-03,2023-01-03,[117],california
charles,fleischmann,M,1962-10-11,"Charles J. ""Chuck"" Fleischmann",rep,Republican,2021-01-03,2023-01-03,[117],tennessee
virginia,foxx,F,1943-06-29,Virginia Foxx,rep,Republican,2021-01-03,2023-01-03,[117],north carolina
john,garamendi,M,1945-01-24,John Garamendi,rep,Democrat,2021-01-03,2023-01-03,[117],california
paul,gosar,M,1958-11-22,Paul A. Gosar,rep,Republican,2021-01-03,2023-01-03,[117],arizona
kay,granger,F,1943-01-18,Kay Granger,rep,Republican,2021-01-03,2023-01-03,[117],texas
charles,grassley,M,1933-09-17,Chuck Grassley,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",iowa
sam,graves,M,1963-11-07,Sam Graves,rep,Republican,2021-01-03,2023-01-03,[117],missouri
al,green,M,1947-09-01,Al Green,rep,Democrat,2021-01-03,2023-01-03,[117],texas
h.,griffith,M,1958-03-15,H. Morgan Griffith,rep,Republican,2021-01-03,2023-01-03,[117],virginia
raúl,grijalva,M,1948-02-19,Raúl M. Grijalva,rep,Democrat,2021-01-03,2023-01-03,[117],arizona
brett,guthrie,M,1964-02-18,Brett Guthrie,rep,Republican,2021-01-03,2023-01-03,[117],kentucky
andy,harris,M,1957-01-25,Andy Harris,rep,Republican,2021-01-03,2023-01-03,[117],maryland
martin,heinrich,M,1971-10-17,Martin Heinrich,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",new mexico
james,himes,M,1966-07-05,James A. Himes,rep,Democrat,2021-01-03,2023-01-03,[117],connecticut
mazie,hirono,F,1947-11-03,Mazie K. Hirono,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",hawaii
john,hoeven,M,1957-03-13,John Hoeven,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",north dakota
steny,hoyer,M,1939-06-14,Steny H. Hoyer,rep,Democrat,2021-01-03,2023-01-03,[117],maryland
bill,huizenga,M,1969-01-31,Bill Huizenga,rep,Republican,2021-01-03,2023-01-03,[117],michigan
henry,johnson,M,1954-10-02,"Henry C. ""Hank"" Johnson, Jr.",rep,Democrat,2021-01-03,2023-01-03,[117],georgia
ron,johnson,M,1955-04-08,Ron Johnson,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",wisconsin
jim,jordan,M,1964-02-17,Jim Jordan,rep,Republican,2021-01-03,2023-01-03,[117],ohio
marcy,kaptur,F,1946-06-17,Marcy Kaptur,rep,Democrat,2021-01-03,2023-01-03,[117],ohio
william,keating,M,1952-09-06,William R. Keating,rep,Democrat,2021-01-03,2023-01-03,[117],massachusetts
mike,kelly,M,1948-05-10,Mike Kelly,rep,Republican,2021-01-03,2023-01-03,[117],pennsylvania
doug,lamborn,M,1954-05-24,Doug Lamborn,rep,Republican,2021-01-03,2023-01-03,[117],colorado
james,lankford,M,1968-03-04,James Lankford,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",oklahoma
rick,larsen,M,1965-06-15,Rick Larsen,rep,Democrat,2021-01-03,2023-01-03,[117],washington
john,larson,M,1948-07-22,John B. Larson,rep,Democrat,2021-01-03,2023-01-03,[117],connecticut
robert,latta,M,1956-04-18,Robert E. Latta,rep,Republican,2021-01-03,2023-01-03,[117],ohio
barbara,lee,F,1946-07-16,Barbara Lee,rep,Democrat,2021-01-03,2023-01-03,[117],california
mike,lee,M,1971-06-04,Mike Lee,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",utah
zoe,lofgren,F,1947-12-21,Zoe Lofgren,rep,Democrat,2021-01-03,2023-01-03,[117],california
frank,lucas,M,1960-01-06,Frank D. Lucas,rep,Republican,2021-01-03,2023-01-03,[117],oklahoma
blaine,luetkemeyer,M,1952-05-07,Blaine Luetkemeyer,rep,Republican,2021-01-03,2023-01-03,[117],missouri
ben,luján,M,1972-06-07,Ben Ray Luján,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",new mexico
stephen,lynch,M,1955-03-31,Stephen F. Lynch,rep,Democrat,2021-01-03,2023-01-03,[117],massachusetts
edward,markey,M,1946-07-11,Edward J. Markey,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",massachusetts
doris,matsui,F,1944-09-25,Doris O. Matsui,rep,Democrat,2021-01-03,2023-01-03,[117],california
michael,mccaul,M,1962-01-14,Michael T. McCaul,rep,Republican,2021-01-03,2023-01-03,[117],texas
tom,mcclintock,M,1956-07-10,Tom McClintock,rep,Republican,2021-01-03,2023-01-03,[117],california
betty,mccollum,F,1954-07-12,Betty McCollum,rep,Democrat,2021-01-03,2023-01-03,[117],minnesota
james,mcgovern,M,1959-11-20,James P. McGovern,rep,Democrat,2021-01-03,2023-01-03,[117],massachusetts
patrick,mchenry,M,1975-10-22,Patrick T. McHenry,rep,Republican,2021-01-03,2023-01-03,[117],north carolina
cathy,mcmorris rodgers,F,1969-05-22,Cathy McMorris Rodgers,rep,Republican,2021-01-03,2023-01-03,[117],washington
gregory,meeks,M,1953-09-25,Gregory W. Meeks,rep,Democrat,2021-01-03,2023-01-03,[117],new york
gwen,moore,F,1951-04-18,Gwen Moore,rep,Democrat,2021-01-03,2023-01-03,[117],wisconsin
jerry,moran,M,1954-05-29,Jerry Moran,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",kansas
lisa,murkowski,F,1957-05-22,Lisa Murkowski,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",alaska
christopher,murphy,M,1973-08-03,Christopher Murphy,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",connecticut
patty,murray,F,1950-10-11,Patty Murray,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",washington
jerrold,nadler,M,1947-06-13,Jerrold Nadler,rep,Democrat,2021-01-03,2023-01-03,[117],new york
grace,napolitano,F,1936-12-04,Grace F. Napolitano,rep,Democrat,2021-01-03,2023-01-03,[117],california
richard,neal,M,1949-02-14,Richard E. Neal,rep,Democrat,2021-01-03,2023-01-03,[117],massachusetts
eleanor,norton,F,1937-06-13,Eleanor Holmes Norton,rep,Democrat,2021-01-03,2023-01-03,[117],dc
frank,pallone,M,1951-10-30,"Frank Pallone, Jr.",rep,Democrat,2021-01-03,2023-01-03,[117],new jersey
rand,paul,M,1963-01-07,Rand Paul,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",kentucky
nancy,pelosi,F,1940-03-26,Nancy Pelosi,rep,Democrat,2021-01-03,2023-01-03,[117],california
gary,peters,M,1958-12-01,Gary C. Peters,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",michigan
chellie,pingree,F,1955-04-02,Chellie Pingree,rep,Democrat,2021-01-03,2023-01-03,[117],maine
bill,posey,M,1947-12-18,Bill Posey,rep,Republican,2021-01-03,2023-01-03,[117],florida
mike,quigley,M,1958-10-17,Mike Quigley,rep,Democrat,2021-01-03,2023-01-03,[117],illinois
harold,rogers,M,1937-12-31,Harold Rogers,rep,Republican,2021-01-03,2023-01-03,[117],kentucky
mike,rogers,M,1958-07-16,Mike Rogers,rep,Republican,2021-01-03,2023-01-03,[117],alabama
marco,rubio,M,1971-05-28,Marco Rubio,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",florida
c.,ruppersberger,M,1946-01-31,C. A. Dutch Ruppersberger,rep,Democrat,2021-01-03,2023-01-03,[117],maryland
gregorio,sablan,M,1955-01-19,Gregorio Kilili Camacho Sablan,rep,Democrat,2021-01-03,2023-01-03,[117],mp
john,sarbanes,M,1962-05-22,John P. Sarbanes,rep,Democrat,2021-01-03,2023-01-03,[117],maryland
steve,scalise,M,1965-10-06,Steve Scalise,rep,Republican,2021-01-03,2023-01-03,[117],louisiana
janice,schakowsky,F,1944-05-26,Janice D. Schakowsky,rep,Democrat,2021-01-03,2023-01-03,[117],illinois
adam,schiff,M,1960-06-22,Adam B. Schiff,rep,Democrat,2021-01-03,2023-01-03,[117],california
charles,schumer,M,1950-11-23,Charles E. Schumer,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",new york
david,schweikert,M,1962-03-03,David Schweikert,rep,Republican,2021-01-03,2023-01-03,[117],arizona
austin,scott,M,1969-12-10,Austin Scott,rep,Republican,2021-01-03,2023-01-03,[117],georgia
david,scott,M,1945-06-27,David Scott,rep,Democrat,2021-01-03,2023-01-03,[117],georgia
robert,scott,M,1947-04-30,"Robert C. ""Bobby"" Scott",rep,Democrat,2021-01-03,2023-01-03,[117],virginia
tim,scott,M,1965-09-19,Tim Scott,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",south carolina
terri,sewell,F,1965-01-01,Terri A. Sewell,rep,Democrat,2021-01-03,2023-01-03,[117],alabama
brad,sherman,M,1954-10-24,Brad Sherman,rep,Democrat,2021-01-03,2023-01-03,[117],california
michael,simpson,M,1950-09-08,Michael K. Simpson,rep,Republican,2021-01-03,2023-01-03,[117],idaho
adam,smith,M,1965-06-15,Adam Smith,rep,Democrat,2021-01-03,2023-01-03,[117],washington
adrian,smith,M,1970-12-19,Adrian Smith,rep,Republican,2021-01-03,2023-01-03,[117],nebraska
christopher,smith,M,1953-03-04,Christopher H. Smith,rep,Republican,2021-01-03,2023-01-03,[117],new jersey
linda,sánchez,F,1969-01-28,Linda T. Sánchez,rep,Democrat,2021-01-03,2023-01-03,[117],california
bennie,thompson,M,1948-01-28,Bennie G. Thompson,rep,Democrat,2021-01-03,2023-01-03,[117],mississippi
mike,thompson,M,1951-01-24,Mike Thompson,rep,Democrat,2021-01-03,2023-01-03,[117],california
glenn,thompson,M,1959-07-27,Glenn Thompson,rep,Republican,2021-01-03,2023-01-03,[117],pennsylvania
john,thune,M,1961-01-07,John Thune,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",south dakota
paul,tonko,M,1949-06-18,Paul Tonko,rep,Democrat,2021-01-03,2023-01-03,[117],new york
michael,turner,M,1960-01-11,Michael R. Turner,rep,Republican,2021-01-03,2023-01-03,[117],ohio
chris,van hollen,M,1959-01-10,Chris Van Hollen,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",maryland
nydia,velázquez,F,1953-03-28,Nydia M. Velázquez,rep,Democrat,2021-01-03,2023-01-03,[117],new york
tim,walberg,M,1951-04-12,Tim Walberg,rep,Republican,2021-01-03,2023-01-03,[117],michigan
debbie,wasserman schultz,F,1966-09-27,Debbie Wasserman Schultz,rep,Democrat,2021-01-03,2023-01-03,[117],florida
maxine,waters,F,1938-08-15,Maxine Waters,rep,Democrat,2021-01-03,2023-01-03,[117],california
daniel,webster,M,1949-04-27,Daniel Webster,rep,Republican,2021-01-03,2023-01-03,[117],florida
peter,welch,M,1947-05-02,Peter Welch,rep,Democrat,2021-01-03,2023-01-03,[117],vermont
joe,wilson,M,1947-07-31,Joe Wilson,rep,Republican,2021-01-03,2023-01-03,[117],south carolina
frederica,wilson,F,1942-11-05,Frederica S. Wilson,rep,Democrat,2021-01-03,2023-01-03,[117],florida
robert,wittman,M,1959-02-03,Robert J. Wittman,rep,Republican,2021-01-03,2023-01-03,[117],virginia
steve,womack,M,1957-02-18,Steve Womack,rep,Republican,2021-01-03,2023-01-03,[117],arkansas
ron,wyden,M,1949-05-03,Ron Wyden,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",oregon
todd,young,M,1972-08-24,Todd Young,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",indiana
mark,amodei,M,1958-06-12,Mark E. Amodei,rep,Republican,2021-01-03,2023-01-03,[117],nevada
suzanne,bonamici,F,1954-10-14,Suzanne Bonamici,rep,Democrat,2021-01-03,2023-01-03,[117],oregon
suzan,delbene,F,1962-02-17,Suzan K. DelBene,rep,Democrat,2021-01-03,2023-01-03,[117],washington
thomas,massie,M,1971-01-13,Thomas Massie,rep,Republican,2021-01-03,2023-01-03,[117],kentucky
brian,schatz,M,1972-10-20,Brian Schatz,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",hawaii
bill,foster,M,1955-10-07,Bill Foster,rep,Democrat,2021-01-03,2023-01-03,[117],illinois
dina,titus,F,1950-05-23,Dina Titus,rep,Democrat,2021-01-03,2023-01-03,[117],nevada
tom,cotton,M,1977-05-13,Tom Cotton,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",arkansas
kyrsten,sinema,F,1976-07-12,Kyrsten Sinema,sen,Independent,2019-01-03,2025-01-03,"[116, 117, 118]",arizona
doug,lamalfa,M,1960-07-02,Doug LaMalfa,rep,Republican,2021-01-03,2023-01-03,[117],california
jared,huffman,M,1964-02-18,Jared Huffman,rep,Democrat,2021-01-03,2023-01-03,[117],california
ami,bera,M,1965-03-02,Ami Bera,rep,Democrat,2021-01-03,2023-01-03,[117],california
eric,swalwell,M,1980-11-16,Eric Swalwell,rep,Democrat,2021-01-03,2023-01-03,[117],california
julia,brownley,F,1952-08-28,Julia Brownley,rep,Democrat,2021-01-03,2023-01-03,[117],california
tony,cárdenas,M,1963-03-31,Tony Cárdenas,rep,Democrat,2021-01-03,2023-01-03,[117],california
raul,ruiz,M,1972-08-25,Raul Ruiz,rep,Democrat,2021-01-03,2023-01-03,[117],california
mark,takano,M,1960-12-10,Mark Takano,rep,Democrat,2021-01-03,2023-01-03,[117],california
juan,vargas,M,1961-03-07,Juan Vargas,rep,Democrat,2021-01-03,2023-01-03,[117],california
scott,peters,M,1958-06-17,Scott H. Peters,rep,Democrat,2021-01-03,2023-01-03,[117],california
lois,frankel,F,1948-05-16,Lois Frankel,rep,Democrat,2021-01-03,2023-01-03,[117],florida
tammy,duckworth,F,1968-03-12,Tammy Duckworth,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",illinois
garland,barr,M,1973-07-24,Andy Barr,rep,Republican,2021-01-03,2023-01-03,[117],kentucky
elizabeth,warren,F,1949-06-22,Elizabeth Warren,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",massachusetts
angus,king,M,1944-03-31,"Angus S. King, Jr.",sen,Independent,2019-01-03,2025-01-03,"[116, 117, 118]",maine
daniel,kildee,M,1958-08-11,Daniel T. Kildee,rep,Democrat,2021-01-03,2023-01-03,[117],michigan
ann,wagner,F,1962-09-13,Ann Wagner,rep,Republican,2021-01-03,2023-01-03,[117],missouri
steve,daines,M,1962-08-20,Steve Daines,sen,Republican,2021-01-03,2027-01-03,"[117, 118, 119]",montana
richard,hudson,M,1971-11-04,Richard Hudson,rep,Republican,2021-01-03,2023-01-03,[117],north carolina
kevin,cramer,M,1961-01-21,Kevin Cramer,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",north dakota
deb,fischer,F,1951-03-01,Deb Fischer,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",nebraska
ann,kuster,F,1956-09-05,Ann M. Kuster,rep,Democrat,2021-01-03,2023-01-03,[117],new hampshire
grace,meng,F,1975-10-01,Grace Meng,rep,Democrat,2021-01-03,2023-01-03,[117],new york
hakeem,jeffries,M,1970-08-04,Hakeem S. Jeffries,rep,Democrat,2021-01-03,2023-01-03,[117],new york
brad,wenstrup,M,1958-06-17,Brad R. Wenstrup,rep,Republican,2021-01-03,2023-01-03,[117],ohio
joyce,beatty,F,1950-03-12,Joyce Beatty,rep,Democrat,2021-01-03,2023-01-03,[117],ohio
david,joyce,M,1957-03-17,David P. Joyce,rep,Republican,2021-01-03,2023-01-03,[117],ohio
markwayne,mullin,M,1977-07-26,Markwayne Mullin,rep,Republican,2021-01-03,2023-01-03,[117],oklahoma
scott,perry,M,1962-05-27,Scott Perry,rep,Republican,2021-01-03,2023-01-03,[117],pennsylvania
matthew,cartwright,M,1961-05-01,Matt Cartwright,rep,Democrat,2021-01-03,2023-01-03,[117],pennsylvania
ted,cruz,M,1970-12-22,Ted Cruz,sen,Republican,2019-01-03,2025-01-03,"[116, 117, 118]",texas
randy,weber,M,1953-07-02,"Randy K. Weber, Sr.",rep,Republican,2021-01-03,2023-01-03,[117],texas
joaquin,castro,M,1974-09-16,Joaquin Castro,rep,Democrat,2021-01-03,2023-01-03,[117],texas
roger,williams,M,1949-09-13,Roger Williams,rep,Republican,2021-01-03,2023-01-03,[117],texas
marc,veasey,M,1971-01-03,Marc A. Veasey,rep,Democrat,2021-01-03,2023-01-03,[117],texas
timothy,kaine,M,1958-02-26,Tim Kaine,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",virginia
derek,kilmer,M,1974-01-01,Derek Kilmer,rep,Democrat,2021-01-03,2023-01-03,[117],washington
mark,pocan,M,1964-08-14,Mark Pocan,rep,Democrat,2021-01-03,2023-01-03,[117],wisconsin
robin,kelly,F,1956-04-30,Robin L. Kelly,rep,Democrat,2021-01-03,2023-01-03,[117],illinois
jason,smith,M,1980-06-16,Jason Smith,rep,Republican,2021-01-03,2023-01-03,[117],missouri
cory,booker,M,1969-04-27,Cory A. Booker,sen,Democrat,2021-01-03,2027-01-03,"[117, 118, 119]",new jersey
katherine,clark,F,1963-07-17,Katherine M. Clark,rep,Democrat,2021-01-03,2023-01-03,[117],massachusetts
donald,norcross,M,1958-12-13,Donald Norcross,rep,Democrat,2021-01-03,2023-01-03,[117],new jersey
alma,adams,F,1946-05-27,Alma S. Adams,rep,Democrat,2021-01-03,2023-01-03,[117],north carolina
gary,palmer,M,1954-05-14,Gary J. Palmer,rep,Republican,2021-01-03,2023-01-03,[117],alabama
j.,hill,M,1956-12-05,J. French Hill,rep,Republican,2021-01-03,2023-01-03,[117],arkansas
bruce,westerman,M,1967-11-18,Bruce Westerman,rep,Republican,2021-01-03,2023-01-03,[117],arkansas
ruben,gallego,M,1979-11-20,Ruben Gallego,rep,Democrat,2021-01-03,2023-01-03,[117],arizona
mark,desaulnier,M,1952-03-31,Mark DeSaulnier,rep,Democrat,2021-01-03,2023-01-03,[117],california
pete,aguilar,M,1979-06-19,Pete Aguilar,rep,Democrat,2021-01-03,2023-01-03,[117],california
ted,lieu,M,1969-03-29,Ted Lieu,rep,Democrat,2021-01-03,2023-01-03,[117],california
norma,torres,F,1965-04-04,Norma J. Torres,rep,Democrat,2021-01-03,2023-01-03,[117],california
earl,carter,M,1957-09-06,"Earl L. ""Buddy"" Carter",rep,Republican,2021-01-03,2023-01-03,[117],georgia
barry,loudermilk,M,1963-12-22,Barry Loudermilk,rep,Republican,2021-01-03,2023-01-03,[117],georgia
rick,allen,M,1951-11-07,Rick W. Allen,rep,Republican,2021-01-03,2023-01-03,[117],georgia
mike,bost,M,1960-12-30,Mike Bost,rep,Republican,2021-01-03,2023-01-03,[117],illinois
garret,graves,M,1972-01-31,Garret Graves,rep,Republican,2021-01-03,2023-01-03,[117],louisiana
seth,moulton,M,1978-10-24,Seth Moulton,rep,Democrat,2021-01-03,2023-01-03,[117],massachusetts
john,moolenaar,M,1961-05-08,John R. Moolenaar,rep,Republican,2021-01-03,2023-01-03,[117],michigan
debbie,dingell,F,1953-11-23,Debbie Dingell,rep,Democrat,2021-01-03,2023-01-03,[117],michigan
tom,emmer,M,1961-03-03,Tom Emmer,rep,Republican,2021-01-03,2023-01-03,[117],minnesota
david,rouzer,M,1972-02-16,David Rouzer,rep,Republican,2021-01-03,2023-01-03,[117],north carolina
bonnie,watson coleman,F,1945-02-06,Bonnie Watson Coleman,rep,Democrat,2021-01-03,2023-01-03,[117],new jersey
elise,stefanik,F,1984-07-02,Elise M. Stefanik,rep,Republican,2021-01-03,2023-01-03,[117],new york
brendan,boyle,M,1977-02-06,Brendan F. Boyle,rep,Democrat,2021-01-03,2023-01-03,[117],pennsylvania
brian,babin,M,1948-03-23,Brian Babin,rep,Republican,2021-01-03,2023-01-03,[117],texas
donald,beyer,M,1950-06-20,"Donald S. Beyer, Jr.",rep,Democrat,2021-01-03,2023-01-03,[117],virginia
stacey,plaskett,F,1966-05-13,Stacey E. Plaskett,rep,Democrat,2021-01-03,2023-01-03,[117],vi
dan,newhouse,M,1955-07-10,Dan Newhouse,rep,Republican,2021-01-03,2023-01-03,[117],washington
glenn,grothman,M,1955-07-03,Glenn Grothman,rep,Republican,2021-01-03,2023-01-03,[117],wisconsin
alexander,mooney,M,1971-06-05,Alexander X. Mooney,rep,Republican,2021-01-03,2023-01-03,[117],west virginia
